column,type,kl_divergence,js_divergence
age,numeric,0.005467112584726591,0.044341406943029994
fnlwgt,numeric,0.0018912837650955107,0.023051258611089663
educational-num,numeric,0.04916700476102133,0.1274567490272783
capital-gain,numeric,0.005644392456939688,0.04507680297817688
capital-loss,numeric,0.013653284221783416,0.05994589394811922
hours-per-week,numeric,0.014476558945012851,0.07305807490779012
workclass,categorical,0.018809134957012582,0.052340343779948506
education,categorical,0.011439631385518952,0.06120407177718401
marital-status,categorical,0.00953398053628019,0.056719028077119
occupation,categorical,0.03684050801483203,0.120115141497811
relationship,categorical,0.0038461937242230577,0.03663638028449547
race,categorical,0.007834842727517393,0.04697058174622965
gender,categorical,1.1707266350735861e-05,0.002054248131105246
native-country,categorical,0.1336523371451757,0.12982776320620523
income,categorical,1.538896860155646e-05,0.002357190349559052
