column,type,kl_divergence,js_divergence
age,numeric,0.34434825343799574,0.23174159107893832
fnlwgt,numeric,0.358089549826745,0.3026894629871129
educational-num,numeric,0.11225942822050719,0.17477063771096002
capital-gain,numeric,0.0860080264107879,0.15728834656775037
capital-loss,numeric,0.06886891591709479,0.12623655102887613
hours-per-week,numeric,0.5602324011034266,0.2661379499825766
workclass,categorical,0.06461515088218803,0.12122127679086968
education,categorical,0.8062929502506302,0.26161408671458614
marital-status,categorical,0.11362163616721582,0.12137029097379687
occupation,categorical,0.13232264038795027,0.16033368743449428
relationship,categorical,0.0057700559295847005,0.04364426056222376
race,categorical,0.501165408464084,0.11277395123776773
gender,categorical,6.426441267746866e-06,0.00152278596119372
native-country,categorical,0.6039606703609467,0.1696550909856733
income,categorical,2.856051123436903e-05,0.0032118572592728396
