column,type,kl_divergence,js_divergence
BILL_AMT1,numeric,0.08187699805366909,0.13049952772260923
BILL_AMT2,numeric,0.02915881761470591,0.07908828270825503
BILL_AMT3,numeric,0.02181739343484432,0.07154477536128287
BILL_AMT4,numeric,0.04933866734724907,0.10193773298182479
BILL_AMT5,numeric,0.06514525903535937,0.11361786010809877
BILL_AMT6,numeric,0.09443078234276042,0.13038576573550797
PAY_AMT1,numeric,0.02380747712729881,0.07784301672086871
PAY_AMT2,numeric,0.03441420771300496,0.08273171193103089
PAY_AMT3,numeric,0.03654627021996937,0.0951519186937261
PAY_AMT4,numeric,0.022229460059219608,0.0751550498058213
PAY_AMT5,numeric,0.05759002876060684,0.12238656052204
PAY_AMT6,numeric,0.009520222012561095,0.05158858822360751
LIMIT_BAL,categorical,0.7719835417611495,0.44734131500174945
SEX,categorical,0.0002009859558225937,0.0085197900019323
EDUCATION,categorical,0.4248550457595408,0.09036555812344281
MARRIAGE,categorical,0.3462570481187618,0.07944804982900529
AGE,categorical,0.42811232478820466,0.34067343951174717
PAY_0,categorical,0.42155710329770835,0.09270718202005322
PAY_2,categorical,0.4457423567839272,0.09828043884876347
PAY_3,categorical,0.3528682411229127,0.08322340584628785
PAY_4,categorical,0.31211773970270507,0.0792314504625474
PAY_5,categorical,0.30408507333035323,0.07597147835157124
PAY_6,categorical,0.2779419147171068,0.07447512337343011
default,categorical,2.103654765225286e-05,0.0027564940954387645
