LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
50000,2,2,1,60,0,0,0,0,0,0,123580.68,163210.19,143093.22,94679.75,100832.66,85633.95,6348.3877,4985.063,4672.1045,3390.5132,4000.0,2281.8032,0
200000,2,3,1,51,-2,-2,-2,-2,-2,-2,390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
50000,2,2,2,23,-1,-2,-2,-2,-2,-2,721.4486,0.0,0.0,0.0,0.0,0.0,0.0,190.14006,0.0,0.0,0.0,0.0,0
50000,1,2,1,27,0,0,0,2,0,0,48540.58,51774.645,28384.518,30872.184,51333.574,47348.605,6500.0,3000.0,135.99553,2000.0,1667.6339,2001.677,1
240000,2,1,2,37,-2,-2,-2,-2,-2,-2,2394.2485,0.0,0.0,379.9775,1252.7524,4816.5356,49.77881,178.1223,966.2738,800.0,3000.0,3000.0,0
50000,2,3,1,45,0,0,2,-1,-2,-2,17981.412,44913.6,10679.479,10216.897,3275.4438,1000.0,5998.836,0.0,2198.8174,0.0,0.0,0.0,0
50000,1,3,1,45,0,0,0,0,-1,-1,16886.701,11448.159,4158.3433,0.0,0.0,415.17422,1500.0,1354.5238,0.0,0.0,2601.152,0.0,0
200000,2,2,1,39,0,0,0,0,0,0,115157.73,147964.06,141707.22,115068.32,112451.17,76391.484,5299.8496,5000.0,5783.333,3500.0,3294.6104,2498.2627,0
380000,1,3,1,28,0,0,2,0,0,0,17436.56,38238.56,38373.74,79906.22,51814.402,71157.59,6509.064,603.416,1888.95,3390.5566,2029.7513,15990.91,1
60000,1,1,2,23,-1,-1,0,0,0,0,3499.1924,11046.724,23281.42,30269.08,21405.113,19759.188,10000.0,8128.1978,4958.9795,4000.0,4242.345,5000.0,0
50000,1,1,2,32,0,0,0,0,0,0,45934.316,38710.855,55897.668,33513.855,29377.633,41701.645,3173.0295,2358.6567,1301.6713,1013.8061,2000.0,4921.5156,0
240000,2,1,2,37,-2,-2,-2,-2,-2,-2,3899.7808,188.31712,0.0,0.0,0.0,414.86713,0.0,0.0,0.0,0.0,0.0,800.0,0
460000,2,3,1,27,1,2,2,0,0,0,253767.94,365989.3,257804.0,294447.78,256965.62,202615.77,3982.9697,0.0,10000.0,20302.002,4091.753,59181.4,0
50000,1,2,2,33,0,0,0,2,2,2,25288.834,51110.418,40529.676,23415.574,46326.84,34200.484,2000.0,2018.3715,606.7357,1100.0,0.0,862.4061,1
390000,2,1,2,38,1,-2,-2,-2,-2,2,1303.023,873.2238,0.0,18430.51,66633.37,36635.33,1259.7795,0.0,4003.213,4186.1226,3321.52,2712.5376,1
100000,2,1,1,28,0,0,0,0,0,0,127951.03,128993.38,133041.56,133565.45,128094.016,131036.41,5832.0864,4700.0,5765.2725,7846.1665,5248.336,10000.0,0
50000,1,3,1,32,0,0,0,0,0,0,17334.535,24482.277,27877.27,18718.723,19846.441,16990.844,1600.0,2290.296,1198.3523,1000.0,1000.0,0.0,1
20000,1,1,1,38,0,0,0,0,0,-1,64994.453,39122.586,26795.297,11014.4375,1766.6046,8169.2847,10000.0,6018.0854,3125.062,1220.956,5117.9893,5000.0,0
50000,1,2,2,31,0,0,0,0,0,-1,61215.36,28290.89,18430.736,11828.189,15208.977,11849.921,2000.0,3000.0,3009.9536,6000.0,3000.0,790.92053,0
20000,1,1,2,59,0,0,0,0,0,0,84392.28,86004.94,89074.56,50143.992,50734.777,42771.76,6720.833,4204.485,4000.0,5000.0,2308.5837,3528.1196,0
20000,2,1,1,26,0,0,0,0,0,-2,44439.69,27738.21,14444.822,7321.558,2871.2878,3079.8733,5000.0,1744.4429,1815.9023,0.0,501.39917,0.0,0
240000,2,1,1,37,-2,-2,-2,-2,-2,-2,5357.331,2726.2734,307.32498,162.72684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
200000,2,2,2,37,-2,-2,-2,-2,-2,-2,4480.883,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
50000,1,2,1,24,0,0,0,0,0,0,50926.89,34625.65,32695.102,15811.581,18985.984,22447.447,1726.5553,1699.3085,1615.771,1726.1786,2000.0,2695.6963,0
240000,2,1,1,36,-2,-2,-2,-2,-2,-2,632.919,0.0,-102.0482,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
240000,2,1,2,37,-2,-2,-2,-2,-2,-2,3420.6685,679.54333,0.0,390.0,1338.4259,4635.8037,1565.8253,50.743114,797.21423,1497.6283,2202.8557,2000.0,0
50000,1,3,2,26,0,0,0,0,0,0,30189.365,12053.355,4142.882,13553.672,13685.084,10127.954,2468.048,1294.7781,1607.7784,1000.0,399.94382,63.98667,0
20000,1,2,2,27,1,2,2,0,0,0,8200.35,17918.752,5395.0913,38163.76,19877.77,5740.1094,0.0,0.0,3149.5254,500.90503,0.0,0.0,0
50000,1,1,2,27,1,-1,2,0,0,2,61498.28,197232.33,140311.47,139848.52,91238.11,24758.482,21162.514,0.0,5913.4814,7834.1064,0.0,406.48282,0
50000,2,1,2,23,0,0,0,0,0,0,26255.363,16027.845,16139.947,13536.741,18681.252,6133.539,1762.568,1600.0,1317.475,1727.674,0.0,0.0,0
260000,2,1,2,24,-1,-1,-1,-1,-1,-1,1454.6177,858.7365,2324.0364,938.99567,3214.448,2860.844,1645.7073,3000.0,2000.0,2901.5364,1500.0,3000.0,0
50000,1,2,2,52,-1,-1,-1,-1,-1,-1,1877.8489,943.7984,76.98447,1832.6643,2929.6877,509.93716,1110.727,544.84875,3000.0,3000.0,0.0,0.0,0
20000,1,2,2,21,0,0,0,2,0,0,12893.987,8576.996,6788.6846,6097.0166,2387.572,9531.993,2200.377,1209.8911,0.0,0.0,1200.0,300.0,0
20000,2,1,2,23,0,0,0,0,0,0,1438.9868,2456.7825,9883.675,12905.198,6138.42,2218.782,1538.3782,2000.0,1000.0,0.0,146.95146,0.0,0
50000,1,1,2,27,0,0,0,0,0,0,231219.1,274824.88,255918.75,174060.4,174263.31,130622.95,16248.24,8556.3545,10000.0,13035.682,5000.0,7889.4565,0
360000,2,3,1,37,-2,-2,-2,-2,-2,-2,3703.9214,15107.947,16075.072,8386.491,0.0,0.0,3000.0,7000.0,1573.7284,0.0,0.0,0.0,0
20000,1,3,1,68,-1,-1,0,0,0,0,1227.9946,5072.0195,19560.104,41565.473,18934.143,9420.77,3006.32,3061.3652,2993.1196,703.5297,1064.4662,1398.4048,0
110000,2,2,1,60,0,0,0,0,0,0,168318.73,200620.14,174415.97,125668.016,135276.12,105889.56,7306.9824,5000.0,6201.8906,6000.0,5000.0,3015.9443,0
220000,2,2,1,39,2,2,0,0,0,0,157431.25,242558.19,203191.22,136798.0,133178.14,50444.438,3453.39,5000.0,4310.322,2028.2913,1045.5574,3500.0,1
200000,1,1,1,32,-1,-1,-1,-1,-1,-1,1736.24,467.53882,4111.135,5847.2217,2646.4172,85.35766,210.87988,2492.53,2000.0,1000.0,0.7676986,0.0,1
200000,2,1,1,24,-1,-1,-1,-1,-1,-1,2018.6135,0.0,1324.7015,1093.3259,5968.0156,3919.547,0.0,3202.8438,3000.0,2000.0,1500.0,5399.0884,0
50000,2,3,2,27,0,0,0,0,0,0,74507.33,69665.85,68247.34,47402.98,58321.32,42181.383,2799.7466,2980.551,3000.0,3813.7122,2000.0,641.3372,0
30000,2,2,1,31,-1,2,2,-1,-1,-1,11987.982,19062.975,0.0,0.0,299.12482,389.21985,1449.0148,0.0,0.0,1300.0,846.2696,0.0,1
20000,1,1,1,32,0,0,0,0,0,0,118106.5,133593.97,135745.67,102596.055,88884.38,81627.06,6539.3623,5041.366,5000.0,3282.0515,3498.017,3000.0,0
360000,1,2,1,32,-1,-1,2,0,0,-1,51257.234,106931.83,26027.033,23495.307,30465.104,15523.353,192366.06,0.0,0.0,84107.83,263.14377,10040.831,0
