LIMIT_BAL,SEX,EDUCATION,MARRIAGE,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,default
150000,2,1,2,31,0,0,0,0,0,0,43749.867,38676.285,20170.588,14147.284,3158.3196,17339.393,1901.4556,2500.0,2367.9426,0.0,12276.391,0.0,1
90000,1,2,1,38,0,0,0,0,0,0,55680.758,52474.168,43425.125,33433.414,29189.367,29795.459,2997.6873,2000.0,2086.5515,2000.0,2045.9321,956.8913,0
50000,2,3,1,35,0,0,0,0,0,0,54071.08,39189.62,49626.83,57884.695,69883.92,31980.723,8005.616,2097.184,6000.0,4000.0,2000.0,2002.4132,0
160000,2,1,2,28,1,2,2,2,0,0,80716.01,52392.77,69117.78,44136.652,37943.445,28252.838,390.0,5000.0,7.650976,2000.0,4073.6355,3000.0,1
180000,1,2,2,28,0,0,0,0,2,2,17123.762,9065.991,2504.2876,7194.979,0.0,20265.855,0.0,0.0,3000.0,0.0,1000.0,5000.0,1
50000,2,2,1,37,2,0,0,0,0,0,48206.176,55373.07,48030.703,39508.156,28787.408,29020.004,1260.9797,2324.1396,2123.4597,2000.0,2000.0,1211.737,0
200000,1,1,2,27,-1,-1,-1,0,0,0,15252.663,6483.7974,48049.81,59649.125,59452.83,40039.516,5500.0,20604.082,13945.886,5000.0,3000.0,15482.658,0
100000,2,2,1,35,0,0,0,0,0,0,132435.98,125918.695,120430.39,114614.58,110894.1,107241.05,5000.0,5000.0,5000.9985,4745.33,5000.0,4000.0,0
30000,2,2,2,28,0,0,0,0,0,0,20562.43,15544.844,16989.193,10476.682,11991.672,17393.922,1720.0757,2000.0,1417.3547,660.38293,2953.0093,1668.721,0
30000,2,2,2,25,2,2,2,0,0,2,55753.043,55535.656,53341.89,57969.715,28917.621,53939.87,1198.589,0.0,4088.5713,2545.7349,0.0,928.65283,1
90000,2,2,1,35,0,0,0,0,0,0,56846.312,56373.25,46899.203,48929.684,50117.98,41944.297,4555.224,3893.4766,5000.0,4772.619,2862.8499,3739.1523,0
50000,1,2,1,33,0,0,0,0,0,0,37950.3,28998.61,26948.223,22335.664,19903.203,21414.014,2000.0,1803.0238,1373.112,1500.0,1663.3754,1074.6792,0
140000,2,3,1,43,2,2,2,0,0,0,48415.266,52163.375,56170.184,69128.03,46878.605,63164.668,1545.138,651.3519,3141.807,3825.1582,6188.1367,4711.73,0
100000,1,1,1,35,-2,-2,-2,-2,-2,-2,1005.25574,175.51634,0.0,-50.448063,0.0,0.0,1000.0,0.0,0.0,0.0,0.0,0.0,0
50000,2,2,1,32,1,2,0,0,0,0,55447.188,54688.793,56337.836,21742.814,33030.383,19196.559,0.0,11539.664,1300.0,1746.288,2093.581,697.432,1
150000,2,2,1,35,-2,-2,-2,-2,-2,-2,3688.4768,0.0,0.0,0.0,0.0,-17.817562,0.0,0.0,0.0,0.0,0.0,0.0,1
90000,1,1,2,27,0,0,0,0,0,0,38123.477,39101.45,36156.027,29183.877,36857.477,26744.969,5701.099,5011.135,3100.0422,3000.0,1978.1,4500.0,0
50000,2,2,1,25,0,0,0,0,0,0,147107.17,175313.33,155989.19,166570.47,127782.29,144850.84,5704.011,4818.9844,9953.073,3500.0,6534.7886,4977.973,0
360000,1,2,1,36,0,0,0,0,0,0,120698.984,94336.44,68250.47,59494.664,41331.203,62082.094,5000.0,4408.7246,5277.0684,1000.0,8193.9,1796.1545,0
360000,2,2,1,38,-1,-1,-1,-1,-1,-1,1471.9373,1831.8032,1079.0018,1050.5875,198.3201,316.0,2487.047,1400.0,1842.9595,0.0,1000.0,2000.363,0
30000,2,2,2,24,2,2,2,2,2,2,8348.493,7434.1914,15236.905,16308.732,27108.51,17009.62,786.9339,0.0,273.91077,1097.7792,0.0,1000.0,1
30000,2,2,2,32,0,0,0,0,0,0,18303.453,23252.828,19268.365,24307.057,13500.976,22562.275,1366.1138,1300.0,2000.0,315.06662,2008.1051,895.9571,1
50000,2,3,1,35,0,0,0,0,0,2,48531.88,49111.55,50251.586,28108.186,29725.064,28904.553,3181.4116,2191.3433,2039.2521,7040.6704,0.0,2106.7517,0
240000,1,2,1,35,0,0,0,0,0,0,73322.89,47775.24,51624.227,54813.72,22491.324,8569.962,5993.4077,5201.944,6396.6997,1500.0,1000.0,0.0,0
50000,1,2,2,32,0,0,0,0,0,0,25109.742,39425.023,33093.543,23237.852,19818.9,27555.977,2000.0,2000.0,1500.0,1003.9131,1622.2334,1000.0,0
140000,2,2,2,27,0,0,0,0,0,0,170872.02,183151.14,178983.94,169544.78,163959.72,158041.2,9415.206,7000.0,8492.066,6021.105,7159.7993,5132.236,0
180000,2,2,2,27,0,0,0,0,0,0,80344.2,76389.66,74911.945,63537.383,79955.46,66919.78,2000.0,2570.6274,2300.0,3000.0,2825.5293,2629.375,0
50000,2,2,1,25,0,0,0,0,0,-2,30505.273,22792.652,26469.074,20246.664,0.0,0.0,1383.0563,2499.6494,1000.0,0.0,0.0,0.0,1
360000,1,2,1,34,1,2,0,0,0,-1,48803.34,74679.64,132286.44,38578.426,45978.61,39404.9,0.0,20016.334,2000.0,3552.6448,9526.377,2000.0,0
