,Dataset,Method,Constraint,Avg Alpha-P,Std Alpha-P,Avg ViolationAcc,Std ViolationAcc
0,adult,harpoon_ohe,range,0.9187820890313856,0.0044377848155728,3.178368121442125,0.2814496579542946
1,adult,harpoon_ohe,category,0.8478217821782179,0.0278410567891627,2.07920792079208,0.4021801190413842
2,adult,harpoon_ohe,both,0.8652460286710578,0.0511466934565572,2.02247191011236,1.310326268504562
3,default,harpoon_ohe,range,0.7869805865344899,0.0174826598466906,7.781908302354398,0.6894883639773755
4,default,harpoon_ohe,category,0.9197115167906244,0.0073258105048262,0.9060175794455712,0.1940865462394499
5,default,harpoon_ohe,both,0.8723050538222952,0.0130914115951826,2.984126984126984,0.7671775221329888
6,shoppers,harpoon_ohe,range,0.6036228956228956,0.0082147595857273,20.545454545454543,0.9488499851165568
7,shoppers,harpoon_ohe,category,0.7080459770114942,0.0337783658926556,0.0,0.0
8,shoppers,harpoon_ohe,both,0.8092562990028164,0.0457989258567624,12.052980132450331,1.0596026490066224
9,adult,DiffPuter_Remastered,range,0.8287077144539685,0.0164836084244803,73.86148007590133,1.0301875372402547
10,adult,DiffPuter_Remastered,category,0.8331683168316832,0.0192698015385995,0.0,0.0
11,adult,DiffPuter_Remastered,both,0.7347849670670283,0.0371226802124135,78.87640449438202,6.411389940533531
12,default,DiffPuter_Remastered,range,0.6486906237092112,0.0175891375017364,88.52540272614621,1.2054906078825594
13,default,DiffPuter_Remastered,category,0.8527743971151679,0.0150273474490514,0.0,0.0
14,default,DiffPuter_Remastered,both,0.5906031746031746,0.0330713412767095,91.3015873015873,0.8659162982213212
15,shoppers,DiffPuter_Remastered,range,0.6837311041448974,0.0074954834544842,76.68686868686868,1.605266305076275
16,shoppers,DiffPuter_Remastered,category,0.524712643678161,0.0235055012212076,0.0,0.0
17,shoppers,DiffPuter_Remastered,both,0.7648504224708838,0.0172667162393486,78.67549668874172,3.281989852546721
18,adult,GReaT,range,0.9215217343889724,0.0050091139601279,83.57685009487668,0.690321433152987
19,adult,GReaT,category,0.7246204620462047,0.0184075593238123,0.0,0.0
20,adult,GReaT,both,0.8952912307890998,0.0108499768383025,80.2247191011236,3.378268849072562
21,default,GReaT,range,0.6695580338703015,0.0078769006206989,95.365551425031,0.8316213995322205
22,default,GReaT,category,0.849772368717602,0.0063962374820933,0.0,0.0
23,shoppers,GReaT,range,0.8766069894345756,0.0043929566435382,96.52525252525253,0.4633270683304903
24,shoppers,GReaT,category,0.8579885057471264,0.0305906427258526,0.0,0.0
25,shoppers,GReaT,both,0.7336865342163355,0.0247609311976496,95.2317880794702,1.0596026490066217
26,default,GReaT,both,0.5882328042328042,0.0210917708548621,97.07936507936506,0.4211587035371921
