,Dataset,Method,Constraint,Avg Alpha-P,Std Alpha-P,Avg ViolationAcc,Std ViolationAcc,Avg ks,Std ks,Avg detect,Std detect,Avg identifiability,Std identifiability,Avg xgb utility,Std xgb utility
0,adult,GReaT,range,0.9215217343889724,0.0050091139601279,83.57685009487668,0.690321433152987,0.9623840396373604,0.0002423638856348,0.9534081794220048,0.0027468120436428,0.1957305502846299,0.0104863391875886,0.9470794967326408,0.0034879752370522
1,adult,harpoon_ohe,range,0.91849615040677,0.0067158965120004,3.064516129032258,0.2608676866198772,0.9506808278867102,0.0005281340005449,0.9045836310142168,0.002303412909069,0.2562618595825427,0.0039507899077148,0.9451882621052496,0.0021068413559609
2,adult,GReaT,category,0.7246204620462047,0.0184075593238123,0.0,0.0,0.9740328199486616,0.0017946583634244,0.7484296760368255,0.014361047473068,0.4425742574257426,0.0280654213525908,0.87476743501913,0.0089905707566087
3,adult,harpoon_ohe,category,0.8571787868442016,0.0214199450488379,2.1782178217821784,0.3637856053638383,0.9665108177484416,0.0006565231591915,0.7333750179145425,0.013706993413777,0.4594059405940593,0.0198390741678355,0.879743225731608,0.007968580657236
4,adult,GReaT,both,0.8952912307890998,0.0108499768383025,80.2247191011236,3.378268849072562,0.963712026633375,0.0021396162447915,0.9218212005108558,0.0113564511034467,0.3078651685393258,0.0447185364991739,0.9114845847226892,0.023752543148858
5,adult,harpoon_ohe,both,0.8196667958155753,0.0491188643105943,3.370786516853933,1.42124838659253,0.9628797336662508,0.0011648385353539,0.6416628352490422,0.0159233609944359,0.4696629213483146,0.058771671148863,0.9076199138929886,0.0250251855617626
6,adult,GReaT,or,0.8819231407820645,0.0086326008113471,67.13990920346677,0.3081824961220692,0.9717414897357118,0.0003645898765077,0.8969779094476122,0.0031461561061143,0.2420140321914981,0.0049290957084056,0.9397474847260976,0.002763738025716
7,adult,harpoon_ohe,or,0.8704996655613588,0.0089028487279469,3.037556747833265,0.0670576839012461,0.9494115039513308,0.0004263247246435,0.9213637935529724,0.0032545381059888,0.2317787866281469,0.0074681400156946,0.9344264131764876,0.0030809103405099
8,default,GReaT,range,0.6695580338703015,0.0078769006206989,95.365551425031,0.8316213995322205,0.9152525293789237,0.0021904616709354,0.9873546063026584,0.0023342954910389,0.0768277571251548,0.008620831291661,0.6960599342327384,0.1829309501122475
9,default,harpoon_ohe,range,0.7869805865344899,0.0174826598466906,7.781908302354398,0.6894883639773755,0.937941364707164,0.0032232442298022,0.8859569841949853,0.0042016706289417,0.3065675340768278,0.0062990161224975,0.8548707914403897,0.0065444519943159
10,default,GReaT,category,0.849772368717602,0.0063962374820933,0.0,0.0,0.92928842624583,0.0024898509552746,0.7930321320666477,0.0068694735315322,0.2900608519269776,0.0086375764287606,0.827736678113166,0.008561036829305
11,default,harpoon_ohe,category,0.9197115167906244,0.0073258105048262,0.9060175794455712,0.1940865462394499,0.9509023768658658,0.0016728489181873,0.8085733055200116,0.0051372399705661,0.3959432048681541,0.0102504901464488,0.8329029064200396,0.0031181835420951
12,default,harpoon_ohe,both,0.8723050538222952,0.0130914115951826,2.984126984126984,0.7671775221329888,0.9448037676609106,0.002895760950904,0.816495842781557,0.0047118840387718,0.3752380952380952,0.0362739221767255,0.808895515814708,0.0225226505014891
13,default,GReaT,or,0.9040580369378984,0.0042329897751766,24.03855910705225,0.1376424146752975,0.9295376363869512,0.0024180083267814,0.8431805317128809,0.0052473214592956,0.2366311516996448,0.0082223093170503,0.8379472189492414,0.0056348279750658
14,default,harpoon_ohe,or,0.648787417554541,0.0080760700055609,4.231354642313546,0.3450025367833588,0.9237571155379374,0.0013999742228346,0.9449463182663074,0.0007418984951327,0.1991882293252156,0.0039378199719801,0.8134805149500149,0.004765714933665
15,shoppers,GReaT,range,0.8766069894345756,0.0043929566435382,96.52525252525253,0.4633270683304903,0.9108498316498318,0.0004726179044107,0.9942601775329049,0.0010699512889411,0.0711111111111111,0.0072446145765822,0.3479598059099517,0.4262361481212025
16,shoppers,harpoon_ohe,range,0.6036228956228956,0.0082147595857273,20.545454545454543,0.9488499851165568,0.92183164983165,0.0009936072004251,0.8740581573308847,0.0038740988924234,0.4355555555555556,0.007834634112996,0.8863347047791061,0.0064630281532104
17,shoppers,GReaT,category,0.8579885057471264,0.0305906427258526,0.0,0.0,0.9336206896551724,0.00137871155585,0.9127417057448276,0.0026709641331866,0.2780172413793103,0.019799455306648,0.7053879841108628,0.3527253595736608
