,Dataset,Method,Mask Type,Ratio,Avg MSE,STD of MSE,Avg Acc,STD of Acc
929,adult,harpoon_ohe_mae,MAR,0.15,0.956697962555731,0.0723173343294665,71.13064905198793,3.686477672421701
930,adult,GReaT,MAR,0.15,5.745094241418393,7.642425703171078,14.265593233680557,0.351205427420917
931,adult,DiffPuter_Remastered,MAR,0.15,0.9907044150169492,0.0716021984257838,71.71958490798927,3.5900393979121463
932,adult,Remasker,MAR,0.15,0.867889933734537,0.0541016178659113,50.99569188737956,10.386047065301474
933,adult,GAIN,MAR,0.15,1.5736890172138025,0.0545864196938956,22.73399445510549,6.630986711457841
934,adult,Miracle,MAR,0.15,0.9776681606090244,0.0770800840772875,51.73998362642631,7.341253894145092
935,bean,harpoon_ohe_mae,MAR,0.15,0.1470633000135421,0.0597273148596286,,
936,bean,GReaT,MAR,0.15,2.163188850674646,0.1702072077535154,,
937,bean,DiffPuter_Remastered,MAR,0.15,0.1722129434347152,0.0361467935144901,,
938,bean,Remasker,MAR,0.15,0.1510300786346912,0.0419533165059355,,
939,bean,GAIN,MAR,0.15,1.47569371495737,0.0851188048778487,,
940,bean,Miracle,MAR,0.15,0.2647721131872899,0.1538386333216133,,
941,california,harpoon_ohe_mae,MAR,0.15,0.3788239359855652,0.043175209313631,,
942,california,GReaT,MAR,0.15,1.7085720029799134,0.066386873330683,,
943,california,DiffPuter_Remastered,MAR,0.15,0.3913286328315735,0.0382577553391456,,
944,california,Remasker,MAR,0.15,0.5754421658213336,0.0267198600452402,,
945,california,GAIN,MAR,0.15,13.72671722480224,3.985563817210932,,
946,california,Miracle,MAR,0.15,0.276980049141565,0.0250983364148646,,
947,default,harpoon_ohe_mae,MAR,0.15,0.5920776591779903,0.0764521617465344,74.65924786260305,2.8961156345378782
948,default,GReaT,MAR,0.15,1.999225811880629,0.2008813896167032,42.010435974270536,0.7110729409142839
949,default,DiffPuter_Remastered,MAR,0.15,0.722478411334327,0.1151689986636397,73.4552645622393,2.7506890182030603
950,default,Remasker,MAR,0.15,0.657603393392007,0.086539435305218,71.60295020483585,1.711958202281001
951,default,GAIN,MAR,0.15,4.7626773122773525,0.952963194051681,43.77385638645613,3.540858487399397
952,default,Miracle,MAR,0.15,0.9394670090667322,0.3034399562292654,71.43605723933521,1.9094894866055887
953,gesture,harpoon_ohe_mae,MAR,0.15,0.4927059710025787,0.1102928444743156,,
954,gesture,GReaT,MAR,0.15,321466.50313432794,169410.68794704616,,
955,gesture,DiffPuter_Remastered,MAR,0.15,0.404062271118164,0.0894409716129303,,
956,gesture,Remasker,MAR,0.15,0.8108010105222766,0.0850959149435249,,
957,gesture,GAIN,MAR,0.15,1.2626403508294968,0.106077902402792,,
958,gesture,Miracle,MAR,0.15,0.726606501553748,0.1501299324227048,,
959,letter,harpoon_ohe_mae,MAR,0.15,0.4154857099056244,0.0410910807549953,,
960,letter,GReaT,MAR,0.15,1.8345780680919528,0.0562977527595941,,
961,letter,DiffPuter_Remastered,MAR,0.15,0.3206752240657806,0.0352200120687484,,
962,letter,Remasker,MAR,0.15,0.4619486922624241,0.0435431213305051,,
963,letter,GAIN,MAR,0.15,1.0768008587314486,0.0486720377802437,,
964,letter,Miracle,MAR,0.15,0.3905002847702732,0.0185784924616315,,
965,magic,harpoon_ohe_mae,MAR,0.15,1.137565851211548,0.4216620326042175,,
966,magic,GReaT,MAR,0.15,1.885497286352344,0.2292130164199575,,
967,magic,DiffPuter_Remastered,MAR,0.15,0.8632549047470093,0.2485583424568176,,
968,magic,Remasker,MAR,0.15,0.7299478710653069,0.2507363135155311,,
969,magic,GAIN,MAR,0.15,1.3455467140972337,0.2186252052724537,,
970,magic,Miracle,MAR,0.15,0.7287651233954843,0.2558243827913358,,
971,shoppers,harpoon_ohe_mae,MAR,0.15,0.7356781035086563,0.0833509646533224,51.959378707992656,5.79099349212945
972,shoppers,GReaT,MAR,0.15,8.976814157408866,14.66353696380243,37.80220928332907,5.4063021809415694
973,shoppers,DiffPuter_Remastered,MAR,0.15,0.7695043250091953,0.123895785911887,57.65487415078127,4.51145407094051
974,shoppers,Remasker,MAR,0.15,0.6747619553040434,0.0977490080979817,40.73489011191444,6.198986748176905
975,shoppers,GAIN,MAR,0.15,1.363220317449323,0.1163203435700948,43.15677600980358,7.657234528175613
976,shoppers,Miracle,MAR,0.15,1.0826462702560786,0.3488341389653689,36.76485219562254,5.8503367704527935
