,Dataset,Method,Mask Type,Ratio,Avg MSE,STD of MSE,Avg Acc,STD of Acc,Avg Runtime,STD of Runtime
0,adult,harpoon_ohe_mae,MAR,0.25,0.9948079570388336,0.0804553756585225,69.43810468762238,3.1101780358686826,4.425742731057108,0.3366017346898284
1,adult,GReaT,MAR,0.25,3.695183101236132,3.26104902124536,22.88130079788213,1.5555344109210885,65.47183435289189,2.573027158347391
2,adult,DiffPuter_Remastered,MAR,0.25,1.0411413570803494,0.0936539533934479,69.46901820399744,3.045375854500335,2.8298859431408347,0.2741019269328506
3,adult,Remasker,MAR,0.25,0.916341428565107,0.0444929501881971,46.80946336598372,11.194010827302185,2.6760016389191152,5.238630836310621
4,adult,GAIN,MAR,0.25,1.862996051571996,0.0417408868460045,22.11284805871973,6.974775786561508,0.1377553993836045,0.2637365000669672
5,adult,Miracle,MAR,0.25,2.168993359381912,0.3416428516562046,42.09879798569617,5.851253639230843,33.03156717717648,0.9926849471272572
6,shoppers,harpoon_ohe_mae,MAR,0.25,0.7316551564661077,0.0642263702313038,51.16982367031496,5.202440566833856,1.8898986634798347,0.3595417222492822
7,shoppers,GReaT,MAR,0.25,1.5107700227232943,0.0969019149892887,37.69119786416296,5.766661615714606,51.13453906318173,2.2930227252578987
8,shoppers,DiffPuter_Remastered,MAR,0.25,0.7608262516365947,0.0951051099121467,56.1850364490159,4.492863672527401,1.1925768760964277,0.2540244710795349
9,shoppers,Remasker,MAR,0.25,0.7205798320127721,0.1183834959393712,39.82606592720613,6.073047874076625,0.2801794493570924,0.5065534754477181
10,shoppers,GAIN,MAR,0.25,1.6717946462432862,0.2587378002245956,41.24661136069916,7.7019242044010205,0.135334953200072,0.2626560448770771
11,shoppers,Miracle,MAR,0.25,2.21185421502845,0.755691483338673,27.22149527415988,6.8331816914439845,18.27438022252172,0.2980850431188468
12,default,harpoon_ohe_mae,MAR,0.25,0.5124835890248123,0.0616742155261319,73.48921040585654,2.527762946207212,4.046655948460102,0.3359742374072191
13,default,GReaT,MAR,0.25,11.385348948051512,15.121873575959272,44.13044046252181,0.488787578472683,202.71067221630364,7.440809578442989
14,default,DiffPuter_Remastered,MAR,0.25,0.6164204305318949,0.0751000423192632,71.57990623192165,2.532055505885342,2.6215194620192053,0.2602923350657344
15,default,Remasker,MAR,0.25,0.5553069449912568,0.0533886939885875,69.63483739731451,1.7587474364265956,0.329001406673342,0.5263146664544903
16,default,GAIN,MAR,0.25,6.861821452516034,1.6083838669446404,51.29518184946407,2.6553936079787084,0.1476168546825647,0.2766118443297125
17,default,Miracle,MAR,0.25,1.511452627429436,0.3777824686159393,58.50517255547216,5.046460116015336,44.53718336224556,0.2883238714042133
