SEX,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,default,LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
1,0,1,-2,0,2,2,0,0,1,50000.0,29.0,19541.043,20993.87,33574.383,21695.691,23727.035,20375.96,1529.8215,0.0,986.57117,822.9614,1000.0,2000.0
2,0,1,-1,1,6,2,-1,0,0,200000.0,35.0,822.94147,29939.953,390.0,686.40405,624.6629,16541.71,101310.96,17.98557,2000.0,689.10706,8481.35,631.0955
2,2,2,-1,0,0,0,0,0,0,220000.0,25.0,15043.452,20387.873,36884.83,80820.91,22133.627,5470.488,11925.098,108949.51,30828.502,6230.658,1200.0,1121.7433
1,0,1,0,0,0,0,0,2,0,140000.0,48.0,79668.92,70554.234,76915.98,81156.055,75344.305,59085.414,5000.0,5827.4404,4288.3765,5430.397,0.0,4000.0
2,2,2,7,-2,-1,-2,-1,-1,0,200000.0,27.0,0.0,0.0,0.0,390.0,0.0,0.0,0.0,0.0,1178.6952,0.0,1200.0,400.55185
2,2,2,2,0,0,0,0,0,0,390000.0,26.966177,318760.97,319198.88,340518.1,358482.9,341847.38,254433.22,16913.617,25188.15,15319.868,8233.072,10574.2295,0.0
1,0,1,0,-2,-1,-1,-2,-1,0,160000.0,37.0,105.52914,356.12082,0.0,1171.7435,0.0,0.0,0.0,0.0,1005.6018,0.0,0.0,1503.2767
2,1,2,0,0,0,0,0,0,0,230000.0,45.0,184900.5,198664.58,201816.16,181370.66,182369.27,196113.38,15000.0,9066.091,7979.2505,8274.941,10000.0,10487.523
2,0,2,-1,0,0,0,0,3,0,160000.0,44.749184,33407.79,49595.473,46652.227,40834.16,29435.93,29918.594,16661.566,8000.0,7304.1143,1550.8804,2006.6252,2130.2063
1,1,2,0,-1,-1,-1,-1,-2,0,360000.0,40.0,29625.088,2024.2611,26281.893,17866.84,1966.3634,7744.409,2734.4407,12046.15,5000.0825,3000.0,6041.5166,4602.5264
2,2,2,0,0,0,0,0,0,0,90000.0,29.0,70201.4,68111.25,73216.15,73823.04,56866.71,59866.434,2731.1382,2100.0,2220.7632,2082.8484,2680.0688,0.0
1,0,1,4,2,0,0,0,0,0,10000.0,44.0,15347.045,12183.63,12910.831,8850.251,14229.796,11889.92,0.0,1697.8896,1300.0,0.0,0.0,0.0
1,1,2,7,-2,-1,-1,-1,-1,0,210000.0,47.0,0.0,-5222.1426,-4664.0566,769.15393,388.88324,1534.1526,0.0,0.0,10000.0,1000.0,699.569,5000.0
1,5,2,0,0,-1,-1,-2,-1,1,450000.0,36.0,9539.974,16930.996,7576.7686,27382.393,16326.672,11473.507,11897.7295,20575.576,38903.28,96399.9,12000.0,1365.4496
2,2,2,0,0,0,0,0,0,0,500000.0,45.0,87395.37,84625.77,66068.445,88424.63,70335.45,61289.582,4000.0,3200.0,5000.0,3000.0,2500.0,4000.0
2,1,1,0,-1,0,0,-1,0,0,350000.0,31.0,2817.7375,17213.545,8865.846,3780.3772,4704.0005,2253.8042,3210.426,5043.088,2587.9497,3000.0,854.18915,4068.0566
2,0,2,0,-1,0,0,0,7,1,30000.0,52.0,5288.1523,4307.0645,6195.647,4882.8228,7237.985,9378.545,1500.0,2000.0,1000.0,1143.6309,1500.0,2400.5713
2,2,2,-1,-1,-1,-1,0,2,0,50000.0,29.0,316.0,390.02277,390.0,1194.2533,0.0,0.0,1300.0,698.48773,3058.9324,0.0,516.82776,177.82416
2,0,2,0,0,0,0,0,0,0,150000.0,47.0,121284.01,128381.37,107904.29,135290.56,103620.82,107484.805,5346.4546,6496.216,5052.944,5000.0,4170.44,7835.2856
1,0,2,1,4,-1,2,0,0,0,80000.0,29.0,38230.766,12118.588,39306.38,31354.295,26138.844,0.0,0.0,56902.4,0.0,16990.275,0.0,4532.574
1,2,1,0,0,0,0,0,7,0,130000.0,33.0,14678.5625,30174.574,15372.804,15053.185,7001.673,7165.512,3000.0,1931.653,2000.0,0.0,865.0472,0.0
1,2,2,0,0,0,0,0,0,0,50000.0,29.0,76410.86,58607.918,24021.87,29371.852,12974.634,11268.744,4000.0,2491.564,2844.9053,1000.0,2000.0,856.07544
1,2,2,4,-1,2,-2,2,0,0,180000.0,49.0,18461.947,16796.607,23521.18,11318.826,10059.519,9736.213,0.0,1148.1604,0.0,700.0,0.0,0.0
2,1,1,-1,-1,2,2,-1,2,0,180000.0,53.0,5008.9106,9910.805,2392.9265,552.23145,3060.8206,586.8232,2500.0,0.0,369.38342,1000.0,1000.0,1000.0
2,0,1,0,0,0,0,0,0,0,150000.0,49.0,137520.61,128697.04,114219.555,137953.19,121971.58,127318.67,5396.3984,4001.8423,5000.0,3402.9182,4000.2856,3129.5237
1,0,2,7,-2,-1,-1,-1,-1,1,459904.62,35.0,-16.272655,0.0,2291.506,3480.8572,3157.757,2144.997,3608.6284,3436.5735,5000.0,3070.4053,10000.013,3084.5088
2,2,1,-1,2,2,2,2,-1,1,200000.0,28.0,391.9586,704.2176,0.0,1142.3876,0.0,1041.0709,2000.0,0.0,2500.0,0.0,655.62946,1000.0
1,2,2,-1,-1,-1,0,-1,2,0,360000.0,28.0,390.0,3722.995,3899.4749,6579.094,699.13885,0.0,3000.0,5000.0,12533.142,0.0,540.7891,2000.0
1,1,1,0,-1,0,0,-1,-1,0,270000.0,50.0,8929.876,4289.2075,7710.5386,4999.0596,7167.503,13195.508,1200.0,2703.1416,1521.9576,2043.4401,3502.8232,1429.2976
2,0,1,0,0,0,0,0,0,0,140000.0,32.0,83641.24,92960.74,96652.51,89495.42,66711.62,70907.93,3499.8599,2500.0,2716.122,2000.0,2202.1235,2618.624
1,0,2,0,0,0,0,0,0,0,30000.0,26.0,19430.95,15930.62,18196.307,18639.16,18712.152,19523.748,1954.1321,1077.6366,1400.0,959.0167,1000.0,841.22107
1,0,1,0,0,0,0,0,0,0,100000.0,62.702183,49121.05,55695.098,67385.86,43487.5,28492.328,20465.97,4100.0,2980.3857,1516.801,2000.0,1000.0,1051.8634
2,2,2,4,0,0,0,-1,3,0,60000.0,26.0,6363.016,8200.793,9985.469,7120.6875,7087.7476,7694.5312,1413.6493,780.1149,0.98946124,400.0,1000.0,0.0
1,1,2,0,0,0,0,0,0,0,280000.0,33.0,233218.05,194330.14,203008.94,230765.39,203199.97,130341.664,10503.032,8008.3022,7409.7163,5997.1436,4505.7856,5010.211
2,2,1,0,2,4,-2,5,0,1,50000.0,34.0,44956.793,44906.598,48513.19,47222.36,51426.023,54004.16,1701.067,3601.5535,2500.0,0.0,3000.0,0.0
2,0,2,0,0,-1,0,-1,7,1,50000.0,30.0,4948.458,834.2209,2188.2073,3125.214,8476.316,1857.0803,2000.0,3908.17,13935.604,10064.638,1935.2188,2600.0
2,2,2,0,0,0,0,0,0,0,140000.0,44.0,28072.754,23603.133,16825.025,19447.613,13434.218,7339.9346,4718.4775,5000.0,29800.637,8465.896,808.4843,676.2428
1,2,2,0,-1,2,0,0,2,0,10000.0,24.0,18566.088,48965.977,16769.193,17321.045,18794.633,13953.067,2000.0,0.0,5000.0,619.67615,1000.0,5000.0
1,2,2,0,2,2,0,0,3,1,80000.0,23.0,15485.074,12840.958,19942.867,13068.453,26390.768,28173.982,0.0,0.0,0.0,1300.0,1500.0,4065.8127
1,2,1,7,-1,-2,-2,-2,-2,0,240000.0,36.0,1119.4703,3845.5771,0.0,0.0,0.0,0.0,1503.7473,0.0,0.0,0.0,0.0,0.0
1,0,2,-1,5,0,-1,2,0,0,100000.0,22.0,29282.385,27017.611,18570.865,33802.945,0.0,-12.213535,4000.0554,3500.0,8000.0,5000.0,0.0,0.0
2,0,1,0,0,0,0,0,0,0,349574.3,47.0,258519.75,254356.19,243521.53,253314.67,235296.55,237956.05,10025.552,10000.0,10001.7,7000.0,8006.185,10000.0
