SEX,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,default,LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
2,3,1,1,-1,-1,0,-1,-1,0,120000.0,25.0,1103.8563,-69770.055,2970.2168,4753.7583,1683.4572,430.13107,0.0,10020.489,0.0,0.0,92.97635,160.18701
1,3,2,2,2,2,2,0,0,1,230000.0,34.0,48579.695,27072.213,13370.8545,20939.922,3536.0789,-150938.14,1260.2125,2634.0164,0.0,1200.0,1105.4407,1443.9877
1,2,1,0,0,0,0,0,0,0,150000.0,37.0,58355.246,27705.307,7306.394,14994.346,56309.164,6483.4634,2000.0,218.52884,1683.1198,240.5823,1643.1108,3091.3909
2,3,1,0,0,0,0,0,0,0,480000.0,47.0,152748.58,138342.47,117197.46,11780.21,9400.328,197881.62,22573.982,0.0,0.0,6316.089,2068.7104,20000.0
2,2,1,-2,-2,-2,-2,-2,-2,1,10000.0,25.302069,-165580.0,1490.4967,0.0,677.5697,637.91284,-150953.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,1,0,0,0,0,0,0,0,220000.0,41.0,29461.254,5674.4487,86265.99,48831.9,24138.29,14182.704,1783.9841,5000.0,775.4775,2500.0,5990.24,3000.0
1,3,2,1,-2,-2,-2,0,0,0,10000.0,21.0,26409.967,369.13998,0.0,0.0,0.0,19675.008,0.0,3278.731,0.0,0.0,0.0,0.0
1,2,1,2,2,0,0,0,0,1,50000.0,26.0,569.8326,1157.3331,4642.956,969.2074,9674.622,1696.5204,2200.3652,10324.619,0.0,316.0,764.85724,1340.3076
1,2,1,0,0,0,0,0,0,0,130000.0,39.0,37627.98,26422.77,25902.064,28509.154,14577.485,23257.85,4543.754,2000.0,2300.0,1000.0,1300.0,1270.2258
1,1,2,2,2,0,0,0,2,1,20000.0,24.0,82303.14,-69777.0,0.0,87797.04,-81334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2,2,1,-2,-2,-2,-2,-1,0,130000.0,50.338894,28393.498,-69769.99,45327.285,19539.225,14119.35,25887.549,0.0,698.9077,1278.5798,0.0,0.0,0.0
