SEX,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,default,LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
2,1,3,0,0,0,0,0,0,1,80000.0,47.0,61200.984,56576.285,47270.63,34486.69,28045.672,28533.412,2788.9812,2000.0,2500.0,1087.723,1603.1396,1810.9276
1,3,2,1,2,0,0,0,0,1,50000.0,29.0,31517.693,31199.564,29624.22,10013.348,10159.929,13459.892,0.0,2000.0,900.0,1000.0,1664.3379,417.00046
1,2,2,0,0,0,0,0,0,0,370000.0,25.0,276795.78,266142.72,288117.12,271922.03,245532.45,259595.89,10019.508,18357.438,12216.718,9332.852,11879.017,7000.0
2,2,1,3,3,2,2,2,-1,0,50000.0,35.0,35283.426,38196.457,33515.43,30361.887,30081.49,26634.889,2000.0,1515.4968,1000.0,2000.0,5424.1523,7019.8125
1,2,1,0,0,0,0,0,0,0,420000.0,30.0,10209.169,16288.271,17977.328,18199.98,18704.934,10641.699,7667.1455,5006.46,390.0,2000.0,780.0,500.0
1,2,2,0,0,0,0,0,0,0,60000.0,30.0,29586.107,26539.266,29612.725,28331.492,26294.133,24939.938,1687.1661,2000.0,1229.2858,780.0,1349.8458,2292.5005
1,1,2,0,0,2,2,-1,0,0,206884.42,39.0,34391.527,47611.117,28334.693,4534.714,122340.94,117723.375,6000.0,0.0,0.0,77077.87,4282.393,0.0
2,1,2,1,2,2,2,2,2,1,180000.0,33.0,32602.326,30805.033,30755.008,30864.506,31298.537,30853.87,0.0,2200.0,2000.0,1428.3821,0.0,1724.9967
2,1,2,0,0,0,0,-2,-2,0,10000.0,23.0,14098.317,14072.219,8034.2715,0.0,0.0,0.0,1500.0,1354.236,0.0,0.0,0.0,0.0
1,2,1,1,-2,-2,-2,-2,-2,1,280000.0,42.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,1,2,-1,-1,-1,-1,-1,-1,0,180000.0,25.0,294.71265,1049.636,1034.6536,5003.691,2951.3408,5571.531,1634.4803,1389.5604,3707.37,3000.0,5000.0,5843.8687
