SEX,EDUCATION,MARRIAGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,default,LIMIT_BAL,AGE,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6
2,1,1,-2,-2,1,0,0,0,0,140000.0,27.0,49071.84,66061.62,126025.516,19138.793,15827.262,48195.68,18275.799,50231.273,2226.2434,3575.556,31159.096,10314.709
2,2,2,0,0,0,0,0,0,0,230000.0,28.0,25548.266,25938.152,25133.455,23249.143,26197.514,19493.38,1500.0,1952.8727,1000.0,1000.0,700.0,3000.0
1,1,2,0,0,0,0,0,0,0,390000.0,34.0,112690.75,123960.19,126941.11,117769.23,115324.78,151204.88,6513.994,10000.0,4852.1562,5676.8555,21865.63,8570.68
2,3,1,0,-1,-1,-1,-1,-1,0,270000.0,53.0,3.2309926,782.74915,5763.6777,513.8218,0.0,2042.6873,1397.8875,9000.0,413.4732,0.0,1834.635,10000.0
1,1,2,-1,-1,-1,0,-1,-1,0,390000.0,33.0,776.86456,91537.08,66255.34,34442.133,18846.582,7866.8364,183976.03,33717.72,4729.5547,6000.0,6000.0,2110.8857
2,1,1,-1,1,-1,-1,-1,-1,0,240000.0,51.0,16914.928,58136.54,43990.523,47670.773,16100.246,10772.236,69459.16,133188.02,67069.664,49442.598,10047.865,33781.598
1,1,0,-1,-1,-1,-1,-1,-1,0,480458.9,47.0,1973.5524,0.0,1066.5769,749.22156,1839.7264,9267.274,0.0,856.543,3572.385,1965.8745,7979.8228,2501.0803
1,2,0,-1,0,0,0,0,2,0,210000.0,43.0,194071.81,181582.72,178965.38,138017.61,148218.73,108665.0,7999.061,15695.716,6455.9116,5000.0,5000.0,3906.772
1,3,0,-1,-1,-1,-1,-1,-1,0,350000.0,55.0,1254.8105,4165.8237,2087.569,3383.728,1987.3789,1575.4705,5000.0,3000.0,957.06085,1205.2131,1691.9062,416.31967
2,2,0,1,2,-1,-1,0,0,0,100000.0,45.0,16248.16,16077.24,74937.87,4832.688,0.0,0.0,0.0,70980.85,9650.229,324.89487,0.0,0.0
1,2,1,0,0,0,0,0,0,0,90000.0,41.0,6023.8853,6576.102,7632.9165,6268.9595,9494.612,2851.3645,1128.443,2957.477,2186.0864,0.0,1195.2323,639.80475
1,2,0,0,0,0,0,0,2,0,80000.0,26.0,7801.6523,4342.709,3694.7883,7154.382,8681.8955,11085.1455,390.0,1415.5858,600.0,1000.0,0.0,699.31793
2,2,2,0,0,0,0,0,0,0,20000.0,22.0,6544.8447,17842.402,13801.855,12267.377,16335.022,18763.838,7152.202,1280.3309,2000.0,288.3369,1500.0,472.8966
1,1,2,0,0,0,0,0,0,0,140000.0,27.0,51057.93,53431.723,77535.85,71735.375,75346.06,79414.164,2453.0703,5295.4897,3582.104,3000.0,3518.1575,4578.9033
2,1,2,-1,-1,-1,-1,-1,-1,0,350000.0,28.0,423.9674,765.2322,905.4352,0.0,390.0,0.0,1497.869,1500.0,0.0,0.0,0.0,0.0
2,2,2,0,0,0,0,0,-1,0,30000.0,24.0,17579.18,17315.713,18731.385,26721.34,19200.34,4171.276,1834.4907,2291.8025,6632.1235,2243.536,3013.9746,1940.7924
2,3,2,-1,-1,0,0,0,0,0,50000.0,52.0,5531.3076,4975.3633,4454.169,4733.6475,3301.2449,3319.2002,1300.0,1298.2351,390.0,0.0,638.48804,0.0
1,1,1,0,0,0,0,0,0,0,300000.0,37.0,130250.71,188396.3,160608.45,100637.336,103734.516,96623.516,29115.129,8000.0,5176.209,5000.0,3999.645,11735.227
2,2,2,0,0,0,0,2,0,0,80000.0,23.0,17519.803,18391.379,20465.744,25658.826,8566.176,4705.687,1167.6201,1498.7256,5000.0,1628.9531,3014.533,0.0
